FOLIO_I,indice1,nseF,nse5F
2022_30159007,-3,98,1,1
2022_23006010,-2,68,1,1
2022_17036031,-1,57,1,1
2022_20016011,-4,01,1,1
2022_21010004,-3,68,1,1
2022_30159014,-4,54,1,1
2022_21147029,-2,9,1,1
2022_26047008,-1,35,1,1
2022_07057033,-4,09,1,1
2022_07022018,-3,76,1,1
2022_07052003,-3,93,1,1
2022_21212024,-2,9,1,1
2022_21212003,-2,46,1,1
2022_20499017,-2,36,1,1
2022_04002124,-1,92,1,1
2022_25018011,-3,19,1,1
2022_30201025,-4,39,1,1
2022_31056027,-1,92,1,1
2022_21212009,-3,76,1,1
2022_25018014,-3,19,1,1
2022_21212012,-3,21,1,1
2022_24037011,-2,41,1,1
2022_05035035,-1,92,1,1
2022_11033003,-2,22,1,1
2022_07020004,-2,63,1,1
2022_17008006,-1,56,1,1
2022_07022027,-3,49,1,1
2022_27006018,-3,16,1,1
2022_30033013,-3,33,1,1
2022_30159018,-3,68,1,1
2022_07089006,-2,68,1,1
2022_03003110,-3,19,1,1
2022_30201006,-3,98,1,1
2022_11032010,-2,1,1,1
2022_13027016,-3,1,1
2022_21148011,-2,74,1,1
2022_07008019,-1,91,1,1
2022_22004004,-2,89,1,1
2022_21212010,-3,46,1,1
2022_30201004,-4,1,1
2022_30159010,-3,97,1,1
2022_07022016,-3,19,1,1
2022_30201007,-2,61,1,1
2022_15082014,-3,19,1,1
2022_24037034,-3,98,1,1
2022_22004009,-3,1,1
2022_04008036,-1,92,1,1
2022_32023003,-2,52,1,1
2022_20002015,-4,54,1,1
2022_30159009,-2,43,1,1
2022_07057032,-4,58,1,1
2022_13027013,-3,46,1,1
2022_23006008,-4,17,1,1
2022_21147018,-2,68,1,1
2022_07089007,-4,22,1,1
2022_22004002,-2,74,1,1
2022_15106030,-5,25,1,1
2022_07052010,-4,71,1,1
2022_21010006,-4,68,1,1
2022_24037035,-3,93,1,1
2022_27010023,-4,95,1,1
2022_21148021,-2,59,1,1
2022_26047045,-1,62,1,1
2022_25018009,-1,62,1,1
2022_30159003,-3,95,1,1
2022_07022028,-3,76,1,1
2022_26047031,-1,78,1,1
2022_23005107,-3,87,1,1
2022_24037026,-3,98,1,1
2022_30201015,-4,22,1,1
2022_07039041,-3,13,1,1
2022_17024020,-2,89,1,1
2022_20016010,-3,81,1,1
2022_20272021,-1,96,1,1
2022_03003104,-3,97,1,1
2022_24037042,-5,23,1,1
2022_06010059,-1,33,1,1
2022_07039035,-4,67,1,1
2022_21148027,-2,41,1,1
2022_21147022,-2,7,1,1
2022_30159008,-3,68,1,1
